model,shape,run_idx,wall_ms,prompt_tokens,completion_tokens,tok_per_sec,http_status
qwen2.5-coder-14b-instruct,short_classify,0,651,52,2,3.07,200
qwen2.5-coder-14b-instruct,short_classify,1,303,52,2,6.60,200
qwen2.5-coder-14b-instruct,short_classify,2,312,52,2,6.41,200
qwen2.5-coder-14b-instruct,short_classify,3,302,52,2,6.62,200
qwen2.5-coder-14b-instruct,short_classify,4,300,52,2,6.67,200
qwen2.5-coder-14b-instruct,short_classify,5,352,52,2,5.68,200
qwen2.5-coder-14b-instruct,short_classify,6,331,52,2,6.04,200
qwen2.5-coder-14b-instruct,short_classify,7,306,52,2,6.54,200
qwen2.5-coder-14b-instruct,short_classify,8,435,52,2,4.60,200
qwen2.5-coder-14b-instruct,short_classify,9,323,52,2,6.19,200
qwen2.5-coder-14b-instruct,short_audit,0,2638,95,35,13.27,200
qwen2.5-coder-14b-instruct,short_audit,1,2891,95,41,14.18,200
qwen2.5-coder-14b-instruct,short_audit,2,2023,95,29,14.34,200
qwen2.5-coder-14b-instruct,short_audit,3,2675,95,40,14.95,200
qwen2.5-coder-14b-instruct,short_audit,4,2776,95,41,14.77,200
qwen2.5-coder-14b-instruct,short_audit,5,2404,95,32,13.31,200
qwen2.5-coder-14b-instruct,short_audit,6,2814,95,41,14.57,200
qwen2.5-coder-14b-instruct,short_audit,7,2763,95,41,14.84,200
qwen2.5-coder-14b-instruct,short_audit,8,2663,95,39,14.65,200
qwen2.5-coder-14b-instruct,short_audit,9,2150,95,30,13.95,200
qwen2.5-coder-14b-instruct,mid_summarize,0,6656,641,96,14.42,200
qwen2.5-coder-14b-instruct,mid_summarize,1,6637,641,97,14.62,200
qwen2.5-coder-14b-instruct,mid_summarize,2,12407,641,187,15.07,200
qwen2.5-coder-14b-instruct,mid_summarize,3,8094,641,120,14.83,200
qwen2.5-coder-14b-instruct,mid_summarize,4,6592,641,97,14.71,200
qwen2.5-coder-14b-instruct,mid_summarize,5,7290,641,108,14.81,200
qwen2.5-coder-14b-instruct,mid_summarize,6,12925,641,197,15.24,200
qwen2.5-coder-14b-instruct,mid_summarize,7,6678,641,98,14.68,200
qwen2.5-coder-14b-instruct,mid_summarize,8,6559,641,96,14.64,200
qwen2.5-coder-14b-instruct,mid_summarize,9,7047,641,104,14.76,200
qwen2.5-coder-14b-instruct,long_analysis,0,50274,73,799,15.89,200
qwen2.5-coder-14b-instruct,long_analysis,1,50172,73,799,15.93,200
qwen2.5-coder-14b-instruct,long_analysis,2,49968,73,799,15.99,200
qwen2.5-coder-7b-instruct,short_classify,0,678,52,2,2.95,200
qwen2.5-coder-7b-instruct,short_classify,1,223,52,2,8.97,200
qwen2.5-coder-7b-instruct,short_classify,2,211,52,2,9.48,200
qwen2.5-coder-7b-instruct,short_classify,3,201,52,2,9.95,200
qwen2.5-coder-7b-instruct,short_classify,4,282,52,2,7.09,200
qwen2.5-coder-7b-instruct,short_classify,5,210,52,2,9.52,200
qwen2.5-coder-7b-instruct,short_classify,6,194,52,2,10.31,200
qwen2.5-coder-7b-instruct,short_classify,7,199,52,2,10.05,200
qwen2.5-coder-7b-instruct,short_classify,8,269,52,2,7.43,200
qwen2.5-coder-7b-instruct,short_classify,9,207,52,2,9.66,200
qwen2.5-coder-7b-instruct,short_audit,0,3124,95,86,27.53,200
qwen2.5-coder-7b-instruct,short_audit,1,3850,95,106,27.53,200
qwen2.5-coder-7b-instruct,short_audit,2,1535,-1,-1,0,-1
qwen2.5-coder-7b-instruct,short_audit,3,3567,95,104,29.16,200
qwen2.5-coder-7b-instruct,short_audit,4,4318,95,119,27.56,200
qwen2.5-coder-7b-instruct,short_audit,5,3784,95,104,27.48,200
qwen2.5-coder-7b-instruct,short_audit,6,2874,95,79,27.49,200
qwen2.5-coder-7b-instruct,short_audit,7,4575,95,143,31.26,200
qwen2.5-coder-7b-instruct,short_audit,8,3629,95,102,28.11,200
qwen2.5-coder-7b-instruct,short_audit,9,3565,95,101,28.33,200
qwen2.5-coder-7b-instruct,mid_summarize,0,4813,641,137,28.46,200
qwen2.5-coder-7b-instruct,mid_summarize,1,4811,641,138,28.68,200
qwen2.5-coder-7b-instruct,mid_summarize,2,5044,641,143,28.35,200
qwen2.5-coder-7b-instruct,mid_summarize,3,6423,641,191,29.74,200
qwen2.5-coder-7b-instruct,mid_summarize,4,6460,641,189,29.26,200
qwen2.5-coder-7b-instruct,mid_summarize,5,6542,641,194,29.65,200
qwen2.5-coder-7b-instruct,mid_summarize,6,5774,641,169,29.27,200
qwen2.5-coder-7b-instruct,mid_summarize,7,5485,641,157,28.62,200
qwen2.5-coder-7b-instruct,mid_summarize,8,4480,641,130,29.02,200
qwen2.5-coder-7b-instruct,mid_summarize,9,4837,641,138,28.53,200
qwen2.5-coder-7b-instruct,long_analysis,0,25427,73,799,31.42,200
qwen2.5-coder-7b-instruct,long_analysis,1,25351,73,799,31.52,200
qwen2.5-coder-7b-instruct,long_analysis,2,25382,73,799,31.48,200
qwen2.5-coder-7b-instruct,long_analysis,3,25438,73,799,31.41,200
qwen2.5-coder-7b-instruct,long_analysis,4,25378,73,799,31.48,200
qwen2.5-coder-7b-instruct,long_analysis,5,25511,73,799,31.32,200
qwen2.5-coder-7b-instruct,long_analysis,6,25700,73,799,31.09,200
qwen2.5-coder-7b-instruct,long_analysis,7,25087,73,788,31.41,200
qwen2.5-coder-7b-instruct,long_analysis,8,25391,73,799,31.47,200
qwen2.5-coder-7b-instruct,long_analysis,9,25499,73,799,31.33,200
qwen2.5-coder-14b-instruct,long_analysis,0,49903,73,799,16.01,200
qwen2.5-coder-14b-instruct,long_analysis,1,1590,-1,-1,0,-1
qwen2.5-coder-14b-instruct,long_analysis,2,49663,73,799,16.09,200
